"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2020","27.24","27.24","27.24","27.24","323.84K","0.00%"
"07/03/2020","27.24","28.88","27.24","27.20","1.54M","-5.68%"
"07/02/2020","28.88","28.88","28.88","28.88","446.79K","0.00%"
"07/01/2020","28.88","28.88","28.88","28.88","278.77K","0.00%"
"06/30/2020","28.88","28.00","28.88","28.40","28.15M","3.14%"
"06/29/2020","28.00","28.00","28.00","28.00","294.79K","0.00%"
"06/26/2020","28.00","27.76","28.00","27.76","5.96M","0.86%"
"06/25/2020","27.76","27.76","27.76","27.76","243.08K","0.00%"
"06/24/2020","27.76","28.80","28.00","27.76","6.66M","-3.61%"
"06/23/2020","28.80","29.60","28.80","28.80","3.39M","-2.70%"
"06/22/2020","29.60","30.40","29.60","29.60","896.09K","-2.63%"
"06/19/2020","30.40","30.40","30.40","30.40","5.30M","0.00%"
"06/18/2020","30.40","33.60","30.40","30.40","5.75M","-9.52%"
"06/17/2020","33.60","33.60","33.60","33.60","139.49K","0.00%"
"06/16/2020","33.60","33.60","33.60","33.60","244.47K","0.00%"
"06/15/2020","33.60","33.60","33.60","33.60","692.14K","0.00%"
"06/11/2020","33.60","34.00","33.60","33.60","5.10M","-1.18%"
"06/10/2020","34.00","34.00","34.00","34.00","2.88M","0.00%"
"06/09/2020","34.00","34.00","34.00","34.00","194.69K","0.00%"
"06/08/2020","34.00","33.60","34.00","34.00","4.74M","1.19%"
"06/05/2020","33.60","35.20","35.20","33.60","19.45M","-4.55%"
"06/04/2020","35.20","35.20","35.20","35.20","126.51K","0.00%"
"06/03/2020","35.20","35.20","35.20","34.64","57.41M","0.00%"
"06/02/2020","35.20","35.20","35.20","35.20","63.07M","0.00%"
"06/01/2020","35.20","34.64","35.20","35.20","3.94M","1.62%"
"05/29/2020","34.64","34.76","34.64","34.64","11.90M","-0.35%"
"05/28/2020","34.76","34.76","34.76","34.76","2.81M","0.00%"
"05/27/2020","34.76","31.60","34.76","33.20","1.50M","10.00%"
"05/22/2020","31.60","30.00","31.60","31.32","830.38K","5.33%"
"05/21/2020","30.00","30.00","30.00","30.00","499.25K","0.00%"
"05/20/2020","30.00","30.00","30.00","30.00","466.44K","0.00%"
"05/19/2020","30.00","30.00","30.00","30.00","1.43M","0.00%"
"05/18/2020","30.00","30.00","30.00","30.00","137.30K","0.00%"
"05/15/2020","30.00","30.00","30.00","30.00","531.23K","0.00%"
"05/14/2020","30.00","30.00","30.00","30.00","199.20K","0.00%"
"05/13/2020","30.00","30.00","30.00","30.00","7.33M","0.00%"
"05/12/2020","30.00","30.00","30.00","30.00","893.28K","0.00%"
"05/11/2020","30.00","30.00","30.00","30.00","461.85K","0.00%"
"05/08/2020","30.00","27.92","30.32","30.00","4.80M","7.45%"
"05/07/2020","27.92","26.40","27.92","27.28","1.70M","5.76%"
"05/06/2020","26.40","24.00","26.40","26.40","485.14K","10.00%"
"05/05/2020","24.00","24.00","24.00","24.00","1.15M","0.00%"
"05/04/2020","24.00","24.00","24.00","24.00","1.33M","0.00%"
"04/30/2020","24.00","24.84","24.00","24.00","975.73K","-3.38%"
"04/29/2020","24.84","24.84","24.84","24.84","662.80K","0.00%"
"04/28/2020","24.84","24.84","24.84","24.84","593.06K","0.00%"
"04/27/2020","24.84","27.60","24.84","24.84","3.86M","-10.00%"
"04/24/2020","27.60","27.60","27.60","27.60","503.70K","0.00%"
"04/23/2020","27.60","27.60","27.60","27.60","693.10K","0.00%"
"04/22/2020","27.60","27.60","27.60","27.60","594.07K","0.00%"
"04/21/2020","27.60","27.60","27.60","27.60","629.10K","0.00%"
"04/20/2020","27.60","25.88","27.60","27.60","1.42M","6.65%"
"04/17/2020","25.88","23.56","25.88","23.72","10.00M","9.85%"
"04/16/2020","23.56","21.44","23.56","23.56","1.91M","9.89%"
"04/15/2020","21.44","19.52","21.44","21.44","377.15K","9.84%"
"04/14/2020","19.52","17.76","19.52","19.52","513.45K","9.91%"
"04/09/2020","17.76","17.76","17.76","17.76","3.10M","0.00%"
"04/08/2020","17.76","17.76","17.76","17.76","450.75K","0.00%"
"04/07/2020","17.76","17.76","17.76","17.76","1.05M","0.00%"
"04/06/2020","17.76","17.60","17.84","17.76","28.37M","0.91%"
"04/03/2020","17.60","18.00","17.60","17.60","731.72K","-2.22%"
"04/02/2020","18.00","19.84","19.20","18.00","13.53M","-9.27%"
"04/01/2020","19.84","20.52","19.84","19.84","7.71M","-3.31%"
"03/31/2020","20.52","20.40","20.52","20.52","1.67M","0.59%"
"03/30/2020","20.40","20.40","20.40","20.40","1.47M","0.00%"
"03/27/2020","20.40","21.44","21.20","20.40","18.85M","-4.85%"
"03/26/2020","21.44","21.60","21.44","21.44","422.65K","-0.74%"
"03/25/2020","21.60","21.60","21.60","21.60","314.00K","0.00%"
